glucosaminaglicano		m: {carbohydrates} glycosaminoglycan;
patineta		f: scooter (child's foot-operated vehicle); skateboard;
juguetonamente		adv: playfully;
escrutar	escrutando	escrutado	escruta	escrutá	escrutad	escruto	escrutas	escrutás	escruta	escrutamos	escrutáis	escrutan	escrute	escrutes	escrutés	escrute	escrutemos	escrutéis	escruten	escrutaba	escrutabas	escrutaba	escrutábamos	escrutabais	escrutaban	escrutara	escrutaras	escrutara	escrutáramos	escrutarais	escrutaran	escrutaré	escrutarás	escrutará	escrutaremos	escrutaréis	escrutarán	escrutaría	escrutarías	escrutaría	escrutaríamos	escrutaríais	escrutarían	escruté	escrutaste	escrutastes	escrutó	escrutamos	escrutasteis	escrutaron	escrutase	escrutases	escrutase	escrutásemos	escrutaseis	escrutasen	escrutare	escrutares	escrutare	escrutáremos	escrutareis	escrutaren	v: to closely examine; to scrutinize;
aúpa		interj: up! get up!;
semicircular		adj: semicircular;
numerar	numerando	numerado	numera	numerá	numerad	numero	numeras	numerás	numera	numeramos	numeráis	numeran	numere	numeres	numerés	numere	numeremos	numeréis	numeren	numeraba	numerabas	numeraba	numerábamos	numerabais	numeraban	numerara	numeraras	numerara	numeráramos	numerarais	numeraran	numeraré	numerarás	numerará	numeraremos	numeraréis	numerarán	numeraría	numerarías	numeraría	numeraríamos	numeraríais	numerarían	numeré	numeraste	numerastes	numeró	numeramos	numerasteis	numeraron	numerase	numerases	numerase	numerásemos	numeraseis	numerasen	numerare	numerares	numerare	numeráremos	numerareis	numeraren	v: to calculate; to number;
Sebastián		prop: male given name, cognate to English Sebastian;
enérgico		adj: assertive; energetic;
antepenúltimo		adj: antepenultimate, third to last;
museografía		f: museography;
moksha		m: Moksha language;
probabilidad		f: chance; likelihood; probability;
oxonio		m: {chemistry} oxonium;
china		f: A Chinese woman; A female servant in a hacienda; Pebble, small stone usually rounded (etymology not related with "china" demonym);
chino		m: A curly haired man; Chinese person; {colloquial} An incomprehensible language; {colloquial,Cuba,uncountable} chickenpox; {colloquial,Spain} a market owned by a Chinese immigrant; adj: Chinese; curly; {Nicaragua} Any Oriental person in general: Chinese, Japanese, Korean, Vietnamese, Mongolian, etc; prop: Chinese (language);
medallero		m: medal table;
Piedad		prop: A female given name meaning mercy equivalent to the English Ruth;
acertar	acertando	acertado	acierta	acertá	acertad	acierto	aciertas	acertás	acierta	acertamos	acertáis	aciertan	acierte	aciertes	acertés	acierte	acertemos	acertéis	acierten	acertaba	acertabas	acertaba	acertábamos	acertabais	acertaban	acertara	acertaras	acertara	acertáramos	acertarais	acertaran	acertaré	acertarás	acertará	acertaremos	acertaréis	acertarán	acertaría	acertarías	acertaría	acertaríamos	acertaríais	acertarían	acerté	acertaste	acertastes	acertó	acertamos	acertasteis	acertaron	acertase	acertases	acertase	acertásemos	acertaseis	acertasen	acertare	acertares	acertare	acertáremos	acertareis	acertaren	v: to be right; to hit upon;
envoltura		f: case, sheath; envelope;
arrezuz		m: liquorice (plant, confection);
ómicron		f: omicron; the Greek letter Ο, ο;
agresión		f: aggression;
serruchar	serruchando	serruchado	serrucha	serruchá	serruchad	serrucho	serruchas	serruchás	serrucha	serruchamos	serrucháis	serruchan	serruche	serruches	serruchés	serruche	serruchemos	serruchéis	serruchen	serruchaba	serruchabas	serruchaba	serruchábamos	serruchabais	serruchaban	serruchara	serrucharas	serruchara	serrucháramos	serrucharais	serrucharan	serrucharé	serrucharás	serruchará	serrucharemos	serrucharéis	serrucharán	serrucharía	serrucharías	serrucharía	serrucharíamos	serrucharíais	serrucharían	serruché	serruchaste	serruchastes	serruchó	serruchamos	serruchasteis	serrucharon	serruchase	serruchases	serruchase	serruchásemos	serruchaseis	serruchasen	serruchare	serruchares	serruchare	serrucháremos	serruchareis	serrucharen	v: to saw into pieces;
vaporizador		m: vaporizer;
tímido		adj: timid;
antónimo		m: antonym;
aprendiz		m: apprentice, trainee;
biombo		m: folding screen;
posteriormente		adv: afterwards, later;
estabilización		f: stabilization;
Sudamérica		prop: South America (continent that is the southern part of the Americas);
destruir	destruyendo	destruido	destruye	destruí	destruid	destruyo	destruyes	destruís	destruye	destruimos	destruís	destruyen	destruya	destruyas	destruyás	destruya	destruyamos	destruyáis	destruyan	destruía	destruías	destruía	destruíamos	destruíais	destruían	destruyera	destruyeras	destruyera	destruyéramos	destruyerais	destruyeran	destruiré	destruirás	destruirá	destruiremos	destruiréis	destruirán	destruiría	destruirías	destruiría	destruiríamos	destruiríais	destruirían	destruí	destruiste	destruistes	destruyó	destruimos	destruisteis	destruyeron	destruyese	destruyeses	destruyese	destruyésemos	destruyeseis	destruyesen	destruyere	destruyeres	destruyere	destruyéremos	destruyereis	destruyeren	v: to destroy;
guandul		m: pigeon pea;
lealmente		adv: loyally;
acritud		f: bitterness, acridness;
genética		f: genetics;
Colombia		prop: Colombia;
Sololá		prop: A department of Guatemala;
adquirir	adquiriendo	adquirido	adquire	adquirí	adquirid	adquiro	adquires	adquirís	adquire	adquirimos	adquirís	adquiren	adquira	adquiras	adquirás	adquira	adquiramos	adquiráis	adquiran	adquiría	adquirías	adquiría	adquiríamos	adquiríais	adquirían	adquiriera	adquirieras	adquiriera	adquiriéramos	adquirierais	adquirieran	adquiriré	adquirirás	adquirirá	adquiriremos	adquiriréis	adquirirán	adquiriría	adquirirías	adquiriría	adquiriríamos	adquiriríais	adquirirían	adquirí	adquiriste	adquiristes	adquirió	adquirimos	adquiristeis	adquirieron	adquiriese	adquirieses	adquiriese	adquiriésemos	adquirieseis	adquiriesen	adquiriere	adquirieres	adquiriere	adquiriéremos	adquiriereis	adquirieren	vt:  to acquire;  to buy;
asechar	asechando	asechado	asecha	asechá	asechad	asecho	asechas	asechás	asecha	asechamos	asecháis	asechan	aseche	aseches	asechés	aseche	asechemos	asechéis	asechen	asechaba	asechabas	asechaba	asechábamos	asechabais	asechaban	asechara	asecharas	asechara	asecháramos	asecharais	asecharan	asecharé	asecharás	asechará	asecharemos	asecharéis	asecharán	asecharía	asecharías	asecharía	asecharíamos	asecharíais	asecharían	aseché	asechaste	asechastes	asechó	asechamos	asechasteis	asecharon	asechase	asechases	asechase	asechásemos	asechaseis	asechasen	asechare	asechares	asechare	asecháremos	asechareis	asecharen	vt:  to set a trap;
golear	goleando	goleado	golea	goleá	golead	goleo	goleas	goleás	golea	goleamos	goleáis	golean	golee	golees	goleés	golee	goleemos	goleéis	goleen	goleaba	goleabas	goleaba	goleábamos	goleabais	goleaban	goleara	golearas	goleara	goleáramos	golearais	golearan	golearé	golearás	goleará	golearemos	golearéis	golearán	golearía	golearías	golearía	golearíamos	golearíais	golearían	goleé	goleaste	goleastes	goleó	goleamos	goleasteis	golearon	golease	goleases	golease	goleásemos	goleaseis	goleasen	goleare	goleares	goleare	goleáremos	goleareis	golearen	v: to rout;
etiqueta		f: label;
absoluto		adj: absolute;
pinto		adj: {Caribbean} clever, cunning; {Caribbean} drunk; {Costa Rica} A meal served for lunch or dinner based on gallo pinto but also with a type of meat and possibly some extras; {Latin America} spotted, pinto, blotchy;
galimatías		f: jabber;
Tegus		prop: Nickname for Tegucigalpa, capital of Honduras;
LL		letter: elle, the 14th letter of the Spanish alphabet, after L and before M;
Teguz		prop: Nickname for Tegucigalpa, capital of Honduras;
ceguedad		f: blindness;
caldo		m: a clear soup, broth, bouillon; sludge; (soup) stock; swill;
rastrillar	rastrillando	rastrillado	rastrilla	rastrillá	rastrillad	rastrillo	rastrillas	rastrillás	rastrilla	rastrillamos	rastrilláis	rastrillan	rastrille	rastrilles	rastrillés	rastrille	rastrillemos	rastrilléis	rastrillen	rastrillaba	rastrillabas	rastrillaba	rastrillábamos	rastrillabais	rastrillaban	rastrillara	rastrillaras	rastrillara	rastrilláramos	rastrillarais	rastrillaran	rastrillaré	rastrillarás	rastrillará	rastrillaremos	rastrillaréis	rastrillarán	rastrillaría	rastrillarías	rastrillaría	rastrillaríamos	rastrillaríais	rastrillarían	rastrillé	rastrillaste	rastrillastes	rastrilló	rastrillamos	rastrillasteis	rastrillaron	rastrillase	rastrillases	rastrillase	rastrillásemos	rastrillaseis	rastrillasen	rastrillare	rastrillares	rastrillare	rastrilláremos	rastrillareis	rastrillaren	v: to harrow;
terriblemente		adv: terribly;
sede		f: {event} venue; seat, headquarters; see (diocese);
ordenar	ordenando	ordenado	ordena	ordená	ordenad	ordeno	ordenas	ordenás	ordena	ordenamos	ordenáis	ordenan	ordene	ordenes	ordenés	ordene	ordenemos	ordenéis	ordenen	ordenaba	ordenabas	ordenaba	ordenábamos	ordenabais	ordenaban	ordenara	ordenaras	ordenara	ordenáramos	ordenarais	ordenaran	ordenaré	ordenarás	ordenará	ordenaremos	ordenaréis	ordenarán	ordenaría	ordenarías	ordenaría	ordenaríamos	ordenaríais	ordenarían	ordené	ordenaste	ordenastes	ordenó	ordenamos	ordenasteis	ordenaron	ordenase	ordenases	ordenase	ordenásemos	ordenaseis	ordenasen	ordenare	ordenares	ordenare	ordenáremos	ordenareis	ordenaren	v: to enjoin; to order; to sort;
calidad		f: quality (level of excellence);
seda		f: silk; thin string;
crural		adj: {anatomy} crural;
camellón		m: camlet (fabric); {Guatemala,Mexico} median; a dividing strip between two lanes of a road; {Guatemala,Panama} curb (of a road); levee, dike; ridge; sawhorse;
tulio		m: thulium;
malabar		m: Malayalam (language);
arácnido		m: arachnid;
exasperante		adj: peeving, infuriating;
boleto		m: porcini (Boletus edulis); ticket;
Sócrates		prop: male given name equivalent to English Socrates; Socrates;
boleta		f: {Chile} bill, receipt; {Latin America} ticket;
plurilingüe		adj: multilingual;
romper	rompiendo	rompido roto	rompe	rompé	romped	rompo	rompes	rompés	rompe	rompemos	rompéis	rompen	rompa	rompas	rompás	rompa	rompamos	rompáis	rompan	rompía	rompías	rompía	rompíamos	rompíais	rompían	rompiera	rompieras	rompiera	rompiéramos	rompierais	rompieran	romperé	romperás	romperá	romperemos	romperéis	romperán	rompería	romperías	rompería	romperíamos	romperíais	romperían	rompí	rompiste	rompistes	rompió	rompimos	rompisteis	rompieron	rompiese	rompieses	rompiese	rompiésemos	rompieseis	rompiesen	rompiere	rompieres	rompiere	rompiéremos	rompiereis	rompieren	v: to break; to break up, terminate (a relationship, friendship etc.);
saliente		adj: Projecting; protruding;
dicción		f: diction;
manada		f: handful (amount held in hand); {zoology} herd, pride;
Fabricio		prop: male given name;
Fabricia		prop: female given name;
oficialidad		f: officiality;
cerrado		adj: Shut; closed;
inusual		adj: unusual;
jugabilidad		f: playability (extent to which something is playable);
concubinato		m: concubinage, cohabitation;
humita		f: {Argentina,Chile,Peru} tamale; {Chile} bow tie;
filamentoso		adj: filamentous;
alérgico		adj: allergic;
separadamente		adv: separately;
cacaotal		m: A grove of cacao trees;
apaciguar	apaciguando	apaciguado	apacigua	apaciguá	apaciguad	apaciguo	apaciguas	apaciguás	apacigua	apaciguamos	apaciguáis	apaciguan	apacigüe	apacigües	apacigüés	apacigüe	apacigüemos	apacigüéis	apacigüen	apaciguaba	apaciguabas	apaciguaba	apaciguábamos	apaciguabais	apaciguaban	apaciguara	apaciguaras	apaciguara	apaciguáramos	apaciguarais	apaciguaran	apaciguaré	apaciguarás	apaciguará	apaciguaremos	apaciguaréis	apaciguarán	apaciguaría	apaciguarías	apaciguaría	apaciguaríamos	apaciguaríais	apaciguarían	apacigüé	apaciguaste	apaciguastes	apaciguó	apaciguamos	apaciguasteis	apaciguaron	apaciguase	apaciguases	apaciguase	apaciguásemos	apaciguaseis	apaciguasen	apaciguare	apaciguares	apaciguare	apaciguáremos	apaciguareis	apaciguaren	vt:  to pacify;
fin		m: end; purpose;
trenzar	trenzando	trenzado	trenza	trenzá	trenzad	trenzo	trenzas	trenzás	trenza	trenzamos	trenzáis	trenzan	trence	trences	trencés	trence	trencemos	trencéis	trencen	trenzaba	trenzabas	trenzaba	trenzábamos	trenzabais	trenzaban	trenzara	trenzaras	trenzara	trenzáramos	trenzarais	trenzaran	trenzaré	trenzarás	trenzará	trenzaremos	trenzaréis	trenzarán	trenzaría	trenzarías	trenzaría	trenzaríamos	trenzaríais	trenzarían	trencé	trenzaste	trenzastes	trenzó	trenzamos	trenzasteis	trenzaron	trenzase	trenzases	trenzase	trenzásemos	trenzaseis	trenzasen	trenzare	trenzares	trenzare	trenzáremos	trenzareis	trenzaren	v: To plait; to braid;
apachurrar	apachurrando	apachurrado	apachurra	apachurrá	apachurrad	apachurro	apachurras	apachurrás	apachurra	apachurramos	apachurráis	apachurran	apachurre	apachurres	apachurrés	apachurre	apachurremos	apachurréis	apachurren	apachurraba	apachurrabas	apachurraba	apachurrábamos	apachurrabais	apachurraban	apachurrara	apachurraras	apachurrara	apachurráramos	apachurrarais	apachurraran	apachurraré	apachurrarás	apachurrará	apachurraremos	apachurraréis	apachurrarán	apachurraría	apachurrarías	apachurraría	apachurraríamos	apachurraríais	apachurrarían	apachurré	apachurraste	apachurrastes	apachurró	apachurramos	apachurrasteis	apachurraron	apachurrase	apachurrases	apachurrase	apachurrásemos	apachurraseis	apachurrasen	apachurrare	apachurrares	apachurrare	apachurráremos	apachurrareis	apachurraren	v: to crush;
fosfito		m: phosphite;
víbora		f: {colloquial,Mexico} snake; malicious person, snake in the grass; viper, adder;
lucero		m: brilliance, luster; luminary (natural light-giving body);
taquillera		f: A blockbuster;
zarina		f: tsarina, czarina;
arroz		m: rice;
taquillero		m: box-office worker; ticket salesperson; adj: (of entertainment) box-office success, hit;
caóticamente		adv: chaotically;
exordio		m: exordium, foreword, introduction;
eccematoso		adj: eczematous;
inexperiencia		f: inexperience;
zas		interj: bang!;
encerar	encerando	encerado	encera	encerá	encerad	encero	enceras	encerás	encera	enceramos	enceráis	enceran	encere	enceres	encerés	encere	enceremos	enceréis	enceren	enceraba	encerabas	enceraba	encerábamos	encerabais	enceraban	encerara	enceraras	encerara	enceráramos	encerarais	enceraran	enceraré	encerarás	encerará	enceraremos	enceraréis	encerarán	enceraría	encerarías	enceraría	enceraríamos	enceraríais	encerarían	enceré	enceraste	encerastes	enceró	enceramos	encerasteis	enceraron	encerase	encerases	encerase	encerásemos	enceraseis	encerasen	encerare	encerares	encerare	enceráremos	encerareis	enceraren	vt:  to wax, polish;
Filipinas		prop: Philippines (Republic of the Philippines);
coasegurador		m: coinsurer;
estanqueidad		f: watertightness;
rozar	rozando	rozado	roza	rozá	rozad	rozo	rozas	rozás	roza	rozamos	rozáis	rozan	roce	roces	rocés	roce	rocemos	rocéis	rocen	rozaba	rozabas	rozaba	rozábamos	rozabais	rozaban	rozara	rozaras	rozara	rozáramos	rozarais	rozaran	rozaré	rozarás	rozará	rozaremos	rozaréis	rozarán	rozaría	rozarías	rozaría	rozaríamos	rozaríais	rozarían	rocé	rozaste	rozastes	rozó	rozamos	rozasteis	rozaron	rozase	rozases	rozase	rozásemos	rozaseis	rozasen	rozare	rozares	rozare	rozáremos	rozareis	rozaren	v: to clear or scrape land; to graze;
correcto		adj: correct, right; well-behaved;
agronomía		f: agronomy;
atrofiar	atrofiando	atrofiado	atrofia	atrofiá	atrofiad	atrofio	atrofias	atrofiás	atrofia	atrofiamos	atrofiáis	atrofian	atrofie	atrofies	atrofiés	atrofie	atrofiemos	atrofiéis	atrofien	atrofiaba	atrofiabas	atrofiaba	atrofiábamos	atrofiabais	atrofiaban	atrofiara	atrofiaras	atrofiara	atrofiáramos	atrofiarais	atrofiaran	atrofiaré	atrofiarás	atrofiará	atrofiaremos	atrofiaréis	atrofiarán	atrofiaría	atrofiarías	atrofiaría	atrofiaríamos	atrofiaríais	atrofiarían	atrofié	atrofiaste	atrofiastes	atrofió	atrofiamos	atrofiasteis	atrofiaron	atrofiase	atrofiases	atrofiase	atrofiásemos	atrofiaseis	atrofiasen	atrofiare	atrofiares	atrofiare	atrofiáremos	atrofiareis	atrofiaren	vr: {atrofiarse} to atrophy; v: to cause atrophy;
permanencia		f: permanence;
cofre		m: bonnet, hood (engine compartment of a car); safe; trunk, chest;
resumir	resumiendo	resumido	resume	resumí	resumid	resumo	resumes	resumís	resume	resumimos	resumís	resumen	resuma	resumas	resumás	resuma	resumamos	resumáis	resuman	resumía	resumías	resumía	resumíamos	resumíais	resumían	resumiera	resumieras	resumiera	resumiéramos	resumierais	resumieran	resumiré	resumirás	resumirá	resumiremos	resumiréis	resumirán	resumiría	resumirías	resumiría	resumiríamos	resumiríais	resumirían	resumí	resumiste	resumistes	resumió	resumimos	resumisteis	resumieron	resumiese	resumieses	resumiese	resumiésemos	resumieseis	resumiesen	resumiere	resumieres	resumiere	resumiéremos	resumiereis	resumieren	v: to summarize;
devoción		f: devotion;
sacrificadora		f: feminine form of sacrificador;
desagradecer	desagradeciendo	desagradecido	desagradece	desagradecé	desagradeced	desagradezco	desagradeces	desagradecés	desagradece	desagradecemos	desagradecéis	desagradecen	desagradezca	desagradezcas	desagradezcás	desagradezca	desagradezcamos	desagradezcáis	desagradezcan	desagradecía	desagradecías	desagradecía	desagradecíamos	desagradecíais	desagradecían	desagradeciera	desagradecieras	desagradeciera	desagradeciéramos	desagradecierais	desagradecieran	desagradeceré	desagradecerás	desagradecerá	desagradeceremos	desagradeceréis	desagradecerán	desagradecería	desagradecerías	desagradecería	desagradeceríamos	desagradeceríais	desagradecerían	desagradecí	desagradeciste	desagradecistes	desagradeció	desagradecimos	desagradecisteis	desagradecieron	desagradeciese	desagradecieses	desagradeciese	desagradeciésemos	desagradecieseis	desagradeciesen	desagradeciere	desagradecieres	desagradeciere	desagradeciéremos	desagradeciereis	desagradecieren	v: to be unthankful for, to be unappreciative of;
influyente		adj: influential;
antígeno		m: {immunology} antigen;
pajilla		f: {El Salvador,Nicaragua,Guatemala} A drinking straw;
montículo		m: mound; monticule;
-tecnia		suffix: skill, technique;
terámetro		m: terametre;
huronear	huroneando	huroneado	huronea	huroneá	huronead	huroneo	huroneas	huroneás	huronea	huroneamos	huroneáis	huronean	huronee	huronees	huroneés	huronee	huroneemos	huroneéis	huroneen	huroneaba	huroneabas	huroneaba	huroneábamos	huroneabais	huroneaban	huroneara	huronearas	huroneara	huroneáramos	huronearais	huronearan	huronearé	huronearás	huroneará	huronearemos	huronearéis	huronearán	huronearía	huronearías	huronearía	huronearíamos	huronearíais	huronearían	huroneé	huroneaste	huroneastes	huroneó	huroneamos	huroneasteis	huronearon	huronease	huroneases	huronease	huroneásemos	huroneaseis	huroneasen	huroneare	huroneares	huroneare	huroneáremos	huroneareis	huronearen	v: to pry into;
simposio		m: symposium;
disgustado		adj: upset, annoyed, angry;
eficiencia		f: efficiency;
acechar	acechando	acechado	acecha	acechá	acechad	acecho	acechas	acechás	acecha	acechamos	acecháis	acechan	aceche	aceches	acechés	aceche	acechemos	acechéis	acechen	acechaba	acechabas	acechaba	acechábamos	acechabais	acechaban	acechara	acecharas	acechara	acecháramos	acecharais	acecharan	acecharé	acecharás	acechará	acecharemos	acecharéis	acecharán	acecharía	acecharías	acecharía	acecharíamos	acecharíais	acecharían	aceché	acechaste	acechastes	acechó	acechamos	acechasteis	acecharon	acechase	acechases	acechase	acechásemos	acechaseis	acechasen	acechare	acechares	acechare	acecháremos	acechareis	acecharen	vt:  to lie in wait for, waylay;  to spy;
terciada		f: {medicine,also used in the plural} tertian fever;
aductor		m: {anatomy} adductor;
zapata		f: {automotive} brake shoe; washer;
adentro		adv: Inside;
patán		m: boor (rude person);
estipendio		m: stipend;
visiblemente		adv: visibly;
iniciación		f: initiation;
celulitis		f: cellulitis;
cisterna		f: cistern;
acrílico		m: acrylic; adj: acrylic;
quenodesoxicolato		m: {organic compound} chenodeoxycholate;
tabletear	tableteando	tableteado	tabletea	tableteá	tabletead	tableteo	tableteas	tableteás	tabletea	tableteamos	tableteáis	tabletean	tabletee	tabletees	tableteés	tabletee	tableteemos	tableteéis	tableteen	tableteaba	tableteabas	tableteaba	tableteábamos	tableteabais	tableteaban	tableteara	tabletearas	tableteara	tableteáramos	tabletearais	tabletearan	tabletearé	tabletearás	tableteará	tabletearemos	tabletearéis	tabletearán	tabletearía	tabletearías	tabletearía	tabletearíamos	tabletearíais	tabletearían	tableteé	tableteaste	tableteastes	tableteó	tableteamos	tableteasteis	tabletearon	tabletease	tableteases	tabletease	tableteásemos	tableteaseis	tableteasen	tableteare	tableteares	tableteare	tableteáremos	tableteareis	tabletearen	v: to rattle;
blocao		m: {military} movable blockhouse;
metrópoli		f: metropolis;
justicia		f: justice; the law;
unificación		f: unification;
grajilla		f: jackdaw;
dínamo		m: dynamo;
chancaca		f: panela;
restructuración		f: restructuring;
longa		f: {music} longa;
sitio		m: place;
zapatería		f: cobbler; shoemaker's; shoe factory; shoestore;
aerológico		adj: aerologic, aerological;
malgastar	malgastando	malgastado	malgasta	malgastá	malgastad	malgasto	malgastas	malgastás	malgasta	malgastamos	malgastáis	malgastan	malgaste	malgastes	malgastés	malgaste	malgastemos	malgastéis	malgasten	malgastaba	malgastabas	malgastaba	malgastábamos	malgastabais	malgastaban	malgastara	malgastaras	malgastara	malgastáramos	malgastarais	malgastaran	malgastaré	malgastarás	malgastará	malgastaremos	malgastaréis	malgastarán	malgastaría	malgastarías	malgastaría	malgastaríamos	malgastaríais	malgastarían	malgasté	malgastaste	malgastastes	malgastó	malgastamos	malgastasteis	malgastaron	malgastase	malgastases	malgastase	malgastásemos	malgastaseis	malgastasen	malgastare	malgastares	malgastare	malgastáremos	malgastareis	malgastaren	v: to waste;
catenaria		f: {mathematics} A catenary; {railway transit} A catenary or system of overhead lines;
Pascual		prop: male given name;
captar	captando	captado	capta	captá	captad	capto	captas	captás	capta	captamos	captáis	captan	capte	captes	captés	capte	captemos	captéis	capten	captaba	captabas	captaba	captábamos	captabais	captaban	captara	captaras	captara	captáramos	captarais	captaran	captaré	captarás	captará	captaremos	captaréis	captarán	captaría	captarías	captaría	captaríamos	captaríais	captarían	capté	captaste	captastes	captó	captamos	captasteis	captaron	captase	captases	captase	captásemos	captaseis	captasen	captare	captares	captare	captáremos	captareis	captaren	v: to capture, perceive, register, understand;
aeródromo		m: airfield;
emocionalmente		adv: emotionally;
eternidad		f: eternity;
pepinillo		m: pickle (cucumber preserved in a solution);
Pandora		prop: {Greek mythology} Pandora;
robótica		f: robotics;
recalentamiento		m: reheating;
estatmina		f: {protein} stathmin;
explotación		f: exploitation;
majo		adj: {Spain,informal} good-looking, handsome; {Spain,informal} likeable, nice, pretty;
centrifugación		f: centrifugation;
flósculo		m: {botany} floret (small flower);
hiato		m: hiatus (a syllable break between two vowels, without an intervening consonant);
insolación		f: insolation, sunshine; sunstroke;
teca		f: teak;
martillar	martillando	martillado	martilla	martillá	martillad	martillo	martillas	martillás	martilla	martillamos	martilláis	martillan	martille	martilles	martillés	martille	martillemos	martilléis	martillen	martillaba	martillabas	martillaba	martillábamos	martillabais	martillaban	martillara	martillaras	martillara	martilláramos	martillarais	martillaran	martillaré	martillarás	martillará	martillaremos	martillaréis	martillarán	martillaría	martillarías	martillaría	martillaríamos	martillaríais	martillarían	martillé	martillaste	martillastes	martilló	martillamos	martillasteis	martillaron	martillase	martillases	martillase	martillásemos	martillaseis	martillasen	martillare	martillares	martillare	martilláremos	martillareis	martillaren	v: to hammer;
condesa		f: countess;
caballería		f: cavalry;
trompa		f: snout (long, projecting nose, mouth and jaw of a beast);
astrónomo		m: astronomer;
hembra		f: female;
miércoles		m: Wednesday; interj: Shoot! (euphemism for mierda);
competidora		f: (female) competitor;
rico		adj: luxurious; rich; tasty;
girobirrotonda		f: {geometry} gyrobirotunda;
clausurar	clausurando	clausurado	clausura	clausurá	clausurad	clausuro	clausuras	clausurás	clausura	clausuramos	clausuráis	clausuran	clausure	clausures	clausurés	clausure	clausuremos	clausuréis	clausuren	clausuraba	clausurabas	clausuraba	clausurábamos	clausurabais	clausuraban	clausurara	clausuraras	clausurara	clausuráramos	clausurarais	clausuraran	clausuraré	clausurarás	clausurará	clausuraremos	clausuraréis	clausurarán	clausuraría	clausurarías	clausuraría	clausuraríamos	clausuraríais	clausurarían	clausuré	clausuraste	clausurastes	clausuró	clausuramos	clausurasteis	clausuraron	clausurase	clausurases	clausurase	clausurásemos	clausuraseis	clausurasen	clausurare	clausurares	clausurare	clausuráremos	clausurareis	clausuraren	v: to close;
pucha		interj: {Chile,colloquial} expresses pity, disappointment, sympathy; f: {vulgar} "pussy" (a Spanish insult);
plata		f: {Latin America} money; silver;
paceño		adj: Of or relating to the city of La Paz, in several countries;
plato		m: plate, dish;
